ID_VEHICULE,ID_POLICE,NUM_SERIE,MARQUE,PUISSANCE,IMMATRICULATION,GENRE_VEHICULE,TYPE_VEHICULE,NB_PLACE,DATE_MEC,VALEUR_A_NEUF,VALEUR_ACTUELLE,CHARGE_UTILE,POIDS_TOTAL,CODE_USAGE
41,41,Z2CSITDIIJ54CRSSA,Kia,25,175 TUN 1916,VP,Voiture Particulière,16,2020-05-28,47535557.551,14763982.929,0.0,33785.47,5
42,42,LN1EI1PDK1IG01T4O,Renault,16,224 TUN 9852,VP,Voiture Particulière,50,2010-03-23,,11027272.893,0.0,3821.14,5
43,43,U32BXKCF2KYM13FZM,Nissan,6,274 TUN 1465,VP,Voiture Particulière,50,2006-03-27,31013437.547,18952256.02,0.0,34305.67,2
44,44,D6Q1DGJCNBPHYX1H4,Peugeot,8,223 TUN 3184,VP,Voiture Particulière,9,2019-07-19,28266938.568,18733774.639,0.0,11630.26,4
45,45,GA3SR2WOPXM1VK9IM,Volkswagen,11,249 TUN 7447,VU,Véhicule Utilitaire,7,2014-04-15,15689374.909,9801698.878,13850.2,13237.82,1
46,46,XL204EC72DY9R3C4S,Mercedes,10,728 TUN 8681,TC,Transport en Commun,2,2011-04-08,22927168.777,16404312.055,0.0,39313.97,2
47,47,NUPRCXEVIW0KBJZY4,Audi,8,461 TUN 1392,VP,Voiture Particulière,5,,26099739.555,18304105.83,0.0,23362.61,0
48,48,KGLCJWPVK16VV6DU1,Nissan,17,248 TUN 4067,VU,Véhicule Utilitaire,5,2016-02-27,55746009.769,35573848.38,11676.03,21186.48,2
49,49,GKB4DHAXOO9UI4T3Z,Skoda,7,778 TUN 7764,VP,Voiture Particulière,30,2023-09-02,39019201.292,33485835.201,0.0,19495.0,0
50,50,TMFFGQI0EQKQP1QFQ,Nissan,8,118 TUN 5578,VP,Voiture Particulière,16,2018-12-12,13608908.885,4978606.555,0.0,5174.46,3
51,51,6NKOE86Y8MLH0TQRY,Peugeot,16,720 TUN 6431,TC,Transport en Commun,2,2020-09-23,38639949.628,23804303.037,0.0,17068.14,3
52,52,B804ELQ9HKODBL7MA,Nissan,10,107 TUN 9271,VP,Voiture Particulière,50,2014-12-19,27104603.405,19783423.897,0.0,21974.73,0
53,53,ZAUV5LLPBXJZTMMGW,Opel,7,190 TUN 5870,VU,Véhicule Utilitaire,16,2001-03-25,23424528.992,7552387.563,3037.92,13046.51,1
54,54,6G40QTSFBUCLIXLCQ,Skoda,10,590 TUN 8758,VP,Voiture Particulière,50,2015-12-05,44615568.403,21192369.903,0.0,22341.4,1
55,55,QL3VBCNT6IXCBTKKF,Dacia,7,  599 TUN 6770  ,VU,Véhicule Utilitaire,30,2006-04-24,55022625.99,27107168.218,2383.49,4380.22,4
56,56,EPVTIFBDCIH6QRUUE,Nissan,9,874 TUN 1779,TC,Transport en Commun,2,2022-10-17,52346484.463,31101422.602,0.0,32757.34,1
57,57,F6JVU4D11783RJAQ6,Dacia,9,895 TUN 9181,VP,Voiture Particulière,4,2005-12-03,21598761.161,12425398.34,0.0,18508.45,5
58,58,FDB9UZZ0ILB3FJYLV,Seat,11,943 TUN 3664,VP,Voiture Particulière,16,2005-06-23,28152566.792,10944814.889,0.0,12520.65,3
59,59,Z0HVY9BDU19OBA4LT,Hyundai,10,495 TUN 1837,VP,Voiture Particulière,30,2020-09-09,38778905.912,14691035.59,0.0,25776.02,1
60,60,O63F7DU24KD7P6F6L,Nissan,25,963 TUN 8213,AR,Tracteur/Remorque,1,2015-03-17,53517959.255,23609710.267,0.0,16942.56,5
61,61,STMGPR3RQ2IDKD7Z8,Skoda,13,926 TUN 3646,VP,Voiture Particulière,5,2003-10-03,25858971.536,12007257.166,0.0,28795.94,2
62,62,IUSMT0QWBRIZH7HNI,Peugeot,10,433 TUN 7198,AR,Tracteur/Remorque,1,2022-12-09,29946583.143,17636637.14,0.0,17257.58,5
63,63,XYBRG7TOMC7Q5U489,Toyota,12,357 TUN 1650,VU,Véhicule Utilitaire,30,2017-09-02,18898399.464,17125400.629,12320.42,28397.46,1
64,64,NWDJMARP0SW22LJ9Z,Opel,7,112 TUN 2782,PL,Poids Lourd,2,2015-11-01,18067981.773,7247881.715,2130.2,6155.76,2
65,65,JDR1XISM7TG905TW3,Kia,6,353 TUN 9442,VP,Voiture Particulière,4,2014-08-14,49328777.468,35754475.518,0.0,20630.32,0
66,66,6X72SN55WQTPWB75A,Audi,13,458 TUN 5609,PL,Poids Lourd,2,2023-05-03,64739060.423,36932218.685,3299.02,14537.47,5
67,67,YWKCCECZRI791LMHW,Fiat,11,929 TUN 8049,TC,Transport en Commun,2,2019-10-24,31697558.539,18739492.227,0.0,17028.57,1
68,68,SAH710X5OYVE6MKZW,Skoda,10,496 TUN 9188,VP,Voiture Particulière,4,2017-10-13,54272148.152,43743658.16,0.0,22739.69,2
69,69,I7H6PY8K193E5QBVM,Opel,10,103 TUN 1175,VP,Voiture Particulière,16,2017-08-26,39372308.275,16337129.599,0.0,11444.77,2
70,70,7KKGLUFANLR3J4BHM,Nissan,11,258 TUN 5635,VU,Véhicule Utilitaire,30,2015-04-22,23799982.46,15311085.501,380.57,33489.22,3
71,71,ATYLTKRI2YCL0MNCJ,Nissan,10,642 TUN 5350,VU,Véhicule Utilitaire,30,2009-02-04,39367575.623,18322789.172,11693.17,22407.93,2
72,72,44TTVI0WG0NT8R0VL,Volkswagen,9,,VP,Voiture Particulière,4,2017-12-06,70899473.265,36362703.986,0.0,4671.52,0
73,73,LKHK553H4V0DVGXT1,Ford,10,870 TUN 8617,VP,Voiture Particulière,7,2024-10-10,32276251.156,27377425.828,0.0,15247.63,2
74,74,0SD69EU3AOBTO0NBV,Fiat,10,332 TUN 5383,VP,Voiture Particulière,2,2001-05-24,71848989.537,31417359.219,0.0,23780.43,0
75,75,2DQZZULR9DEQVYR1O,Kia,16,575 TUN 3810,VP,Voiture Particulière,9,2011-02-02,8867316.102,2954560.321,0.0,24494.31,0
76,76,BRULEET5RHBHX0OUQ,Dacia,8,697 TUN 3974,VU,Véhicule Utilitaire,30,2024-12-08,49560590.583,21758531.929,10132.99,10774.86,1
77,77,XB5FE2QCUFPJ9WK19,BMW,13,373 TUN 5213,VP,Voiture Particulière,9,2016-03-27,34321372.159,26616908.749,0.0,18924.33,3
78,78,IBMCDWQ5LGKXKANJU,Audi,9,455 TUN 2878,TC,Transport en Commun,1,2014-09-22,28296582.73,14815139.708,0.0,27061.71,5
79,79,WQ14ISFJJXN2RO93G,Renault,7,602 TUN 2218,VP,Voiture Particulière,5,2020-11-14,34402358.026,12313049.304,0.0,24564.73,4
80,80,SLBJX1N1GDVP0S3WK,Dacia,9,252 TUN 8405,VP,Voiture Particulière,7,2018-12-04,12163750.566,11226151.655,0.0,9766.42,1
81,81,3AG0460R12SOCDXG2,Fiat,15,565 TUN 8094,PL,Poids Lourd,1,2009-05-15,,18975311.676,3864.0,3334.9,3
82,82,BN3PFDAZ80U7XVLFC,Ford,8,704 TUN 3758,VP,Voiture Particulière,4,2008-02-09,39283359.498,25359450.765,0.0,16434.79,2
83,83,BRTOJKKEVUD1U0BBW,Seat,9,563 TUN 1315,VP,Voiture Particulière,50,2016-08-03,68799174.298,57198830.446,0.0,15326.3,4
84,84,B96101CLJPFU5NZT2,Dacia,13,564 TUN 7290,VP,Voiture Particulière,9,2012-05-01,25358389.243,23425774.977,0.0,33495.09,3
85,85,ZRDZXMTTK64GLTY04,Fiat,10,584 TUN 6314,VP,Voiture Particulière,5,2005-12-26,21933122.114,19873644.364,0.0,39941.79,1
86,86,ERASJNGJBZWBEE2CF,Citroen,12,289 TUN 5454,VP,Voiture Particulière,2,2001-08-01,25568629.738,19597993.6,0.0,17380.47,4
87,87,ZIV47YP096TN7CTDL,Dacia,6,395 TUN 8616,VP,Voiture Particulière,7,2010-12-25,51932550.969,17267785.717,0.0,37842.84,0
88,88,7EW4TFJR0W7ATAAZT,Toyota,12,  810 TUN 7203  ,VP,Voiture Particulière,16,2024-07-04,38730223.95,33527747.985,0.0,21774.92,3
89,89,7vd3tct6o9qmx93if,Opel,10,118 TUN 6711,TC,Transport en Commun,1,2005-04-10,25213123.156,13441469.156,0.0,23813.0,1
90,90,1NRZQMJPQXAC9YZ43,Volkswagen,6,832 TUN 2612,VU,Véhicule Utilitaire,5,2008-04-11,3840252132.0449586,35264533.442,4325.01,15417.69,2
91,91,2VGSC65R8BCE9UULT,Fiat,8,621 TUN 6186,VP,Voiture Particulière,5,2016-06-14,34493934.455,20223332.811,0.0,30725.67,5
92,92,UORZ5TPXVO4FBEYXF,Nissan,10,762 TUN 9452,PL,Poids Lourd,2,2009-12-27,53333636.786,36985051.088,1955.21,9616.33,0
93,93,4TFCX7DCMTSZQEX34,Skoda,5,327 TUN 2444,VP,Voiture Particulière,50,2018-10-20,23132028.54,20764219.957,0.0,16348.47,3
94,94,DT0RJLOCJYW5QR98D,Hyundai,12,132 TUN 3769,TC,Transport en Commun,2,2023-06-18,27894056.786,9616713.193,0.0,18688.09,2
95,95,B8VRLR81YYLO3N1PJ,Mercedes,11,365 TUN 4878,VU,Véhicule Utilitaire,5,2008-12-13,27009553.708,14595451.707,13474.18,20701.9,4
96,96,FP5E60KL5D4H5RGY3,Ford,8,621 TUN 9877,AR,Tracteur/Remorque,1,2021-06-28,15807543.249,12461313.267,0.0,24137.59,5
97,97,17B6PN9ALVJGVO93D,BMW,7,276 TUN 8832,VU,Véhicule Utilitaire,2,2002-03-02,38103451.156,15406423.609,11385.06,30082.78,5
98,98,XM1PONZKOMSB1CEET,Hyundai,9,911 TUN 8447,VP,Voiture Particulière,30,2022-10-05,37441224.514,23326190.122,0.0,29071.67,5
99,99,5R88ULPOP582CI6BR,Citroen,9,685 TUN 2874,VP,Voiture Particulière,7,2010-08-13,32943746.301,12065354.417,0.0,30678.73,4
100,100,6RDQKL7N2C69A5KLO,Audi,9,211 TUN 6663,VP,Voiture Particulière,4,2010-04-19,29222856.336,22806292.111,0.0,31538.01,5
101,101,6O0IAOW1GDI552GS1,Nissan,10,219 TUN 8307,PL,Poids Lourd,1,2008-12-28,16192680.999,5990709.008,2618.2,27487.61,0
102,102,KFVF91EWZMHP2EG6D,Toyota,12,991 TUN 2918,PL,Poids Lourd,2,2002-11-25,26626902.041,24320235.845,2438.49,11491.54,3
103,103,KJXTLVGV64B36SCP3,Hyundai,9,647 TUN 5970,VU,Véhicule Utilitaire,5,2000-02-03,27684908.985,10762057.033,12742.46,22319.52,0
104,104,3QVWM5Q0C09XDUGN3,Kia,9,482 TUN 8209,VP,Voiture Particulière,16,2009-09-24,22001399.972,12243463.539,0.0,23698.86,1
105,105,DEH7RR6ZMPJROHMVL,Mercedes,20,767 TUN 4097,VP,Voiture Particulière,2,2012-05-23,30313763.951,23582809.35,0.0,5221.15,3
106,106,URMM2BCHQV08O9IFA,Nissan,12,564 TUN 8388,VP,Voiture Particulière,7,2002-09-21,40216210.05,28857944.093,0.0,25340.42,0
107,107,EHKE0YCQ7BUKIIDHH,Peugeot,9,497 TUN 2908,VP,Voiture Particulière,4,2007-03-20,84380613.017,47371296.703,0.0,30143.24,0
108,108,TS9K8L9C7LBXZIHF7,Opel,8,902 TUN 9287,AR,Tracteur/Remorque,1,2001-12-07,35856814.312,12977725.74,0.0,13895.27,3
109,109,3OS3H2976NZ7GBNRV,Renault,6,283 TUN 2705,PL,Poids Lourd,1,2000-08-16,37375668.445,32188975.056,5021.74,6839.71,3
110,110,PHSGFNXRVKOEM7ZGN,Peugeot,9,111 TUN 5587,TC,Transport en Commun,2,2003-06-23,31658977.673,24332206.014,0.0,33792.95,4
111,111,KW2P4V54P4SMS0Y8M,Fiat,18,952 TUN 2943,VP,Voiture Particulière,16,2007-09-20,12589449.392,11347871.663,0.0,24404.98,2
112,112,K6RSAWYI9Y3ES5R8V,Peugeot,9,857 TUN 5545,VP,Voiture Particulière,16,2008-03-20,32426882.426,23058249.771,0.0,34113.18,5
113,113,Z1JVR9RT81PCZHTZ5,Dacia,8,516 TUN 5711,VP,Voiture Particulière,7,2002-05-24,33864247.979,28492831.743,0.0,2405.87,1
114,114,MR18WFMRY4EU9PPDB,Dacia,5,423 TUN 9635,VP,Voiture Particulière,2,2009-02-04,112602709.364,51471169.634,0.0,23751.98,2
115,115,XUWSEUU8V38UQVOMK,Toyota,11,214 TUN 1197,VP,Voiture Particulière,7,2016-07-23,29846400.271,24435025.545,0.0,17761.91,2
116,116,N1MR5AXYH1EI4H4JQ,Nissan,11,741 TUN 3652,VU,Véhicule Utilitaire,2,2019-11-25,38206986.524,33201307.206,10130.69,34498.99,5
117,117,OEKF1OTGUSR6CI6E3,Dacia,15,272 TUN 8881,VP,Voiture Particulière,2,2011-10-10,32294238.386,28977520.48,0.0,25466.61,1
118,118,D8VRBX50F75SSPNJK,Opel,5,533 TUN 1308,VP,Voiture Particulière,4,2015-12-24,18318394.193,11823507.088,0.0,25847.56,5
119,119,VUH5VWKXBBLAYMT10,Peugeot,9,803 TUN 7322,VU,Véhicule Utilitaire,30,2006-04-09,58186660.549,22098314.355,9807.23,894.75,4
120,120,ZMKIOK235FYMOJE5Y,Mercedes,9,857 TUN 1367,VP,Voiture Particulière,4,2014-03-20,47856705.186,29297150.815,0.0,21848.61,1
121,121,XOTXDE0CRTZIUKAZD,Opel,9,862 TUN 6983,VU,Véhicule Utilitaire,7,2012-12-04,48801482.649,31714028.818,13524.11,1994.07,3
122,122,TUP97MV35JM1G1ZYN,Citroen,7,235 TUN 9188,VP,Voiture Particulière,7,2000-11-13,20854108.801,19748988.366,0.0,31187.14,2
123,123,K4LQX2PMV00WIBIIR,Kia,16,469 tun 5208,VP,Voiture Particulière,16,2001-05-20,66263676.181,58450631.485,0.0,38385.74,3
124,124,04M23U2DOF8ZYCG1R,Peugeot,10,963 TUN 8804,VP,Voiture Particulière,30,2004-03-10,16302511.727,11616121.55,0.0,34242.94,5
125,125,HEVVMMQJ44WLENC6S,Mercedes,25,741 TUN 5335,VP,Voiture Particulière,16,2022-11-26,44065328.346,38554533.612,0.0,7804.72,4
126,126,F5ABJURATAX3DJTP6,Audi,6,155 TUN 1454,VP,Voiture Particulière,16,2003-07-26,98245803.161,35099582.41,0.0,19738.13,5
127,127,MAL5BIEK5V23UR3HC,BMW,10,940 TUN 8399,VU,Véhicule Utilitaire,30,2011-05-10,20024901.187,14690040.943,6343.81,25137.58,4
128,128,UWX3PTEGIVVUW0WQB,Nissan,11,  143 TUN 8014  ,PL,Poids Lourd,1,2024-09-25,24756692.493,19113499.998,3499.27,30500.49,5
129,129,K6S0OAZ4P3TPU61S5,Peugeot,9,356 TUN 4928,VP,Voiture Particulière,4,2013-10-28,34538353.547,31007332.421,0.0,10197.29,3
130,130,Y8HCYDRS0ESXK1DQC,Seat,16,991 TUN 1187,VP,Voiture Particulière,30,2001-06-10,25546667.918,18655586.397,0.0,9165.36,2
131,131,BUMQ059SBDO4I9ZHF,Audi,13,222 TUN 5342,VP,Voiture Particulière,16,2018-04-24,15133532.93,13809656.406,0.0,29563.74,3
132,132,F6SEAPBQF5H4NZKS2,Nissan,11,152 TUN 6793,VP,Voiture Particulière,16,2015-12-19,34005633.716,19715279.808,0.0,14927.2,3
133,133,GO5MQTYIDEGNWWJRZ,Audi,5,695 TUN 9535,VU,Véhicule Utilitaire,50,2019-05-02,19319073.346,7464978.442,14726.81,39201.24,1
134,134,PL8KH73CHI4SR35TB,Mercedes,13,823 TUN 6384,VP,Voiture Particulière,5,2024-11-14,41639154.408,31799076.185,0.0,17828.57,2
135,135,JUZR716XYZ2Q6PRVE,Peugeot,10,390 TUN 4526,VP,Voiture Particulière,50,2009-07-02,20749716.914,8205808.05,0.0,6074.68,2
136,136,IUE1L5IL96YX4H86D,Audi,9,592 TUN 6998,VU,Véhicule Utilitaire,4,2013-06-23,71322505.554,39419619.543,3165.53,37288.27,4
137,137,RTAMYF8P3NBEJ4VE0,Ford,11,284 TUN 4736,VU,Véhicule Utilitaire,7,2019-04-08,22211675.518,11459059.977,12575.65,33568.88,4
138,138,65A6HAP1O1J0SZ0AV,Seat,15,310 TUN 1773,VP,Voiture Particulière,30,2005-08-17,27972278.409,13536403.399,0.0,8863.87,3
139,139,2LRJJY35RPWUIVKRI,Mercedes,8,317 TUN 6691,VP,Voiture Particulière,30,2013-03-15,-49353235.681,28385659.443,0.0,28881.44,3
140,140,R6TYKWX3W0C4J8W6Z,BMW,8,240 TUN 3807,VP,Voiture Particulière,4,2005-04-15,17757581.701,11428505.43,0.0,11148.41,0
141,141,D5SZARQYSTIFKG1EN,Renault,13,784 TUN 3296,AR,Tracteur/Remorque,2,2014-12-06,36817552.012,26835220.704,0.0,14978.32,2
142,142,OS03HNIFPHWWXDIHN,BMW,9,817 TUN 9085,PL,Poids Lourd,2,2023-04-27,63169153.101,52301786.115,4329.39,23935.67,0
143,143,037L27LDHZO863HF4,Kia,10,680 TUN 6121,VP,Voiture Particulière,50,2009-08-18,14709640.626,1470086754.3192596,0.0,34101.41,4
144,144,1Y54IDPBDVNS437GZ,Renault,10,353 TUN 8460,VP,Voiture Particulière,50,2004-04-05,36037557.203,26645413.142,0.0,12681.54,2
145,145,TWMOS5CTP1JU1OQ4H,Ford,6,779 TUN 9316,TC,Transport en Commun,1,2019-09-28,37419281.442,33804565.189,0.0,34132.58,1
146,146,R8XR83JJHUEAXGYW2,Fiat,11,167 TUN 3948,VP,Voiture Particulière,50,2011-04-01,48577290.931,23330643.735,0.0,14767.75,1
147,147,CZN759HIG45D3RVSE,Kia,11,427 TUN 4029,TC,Transport en Commun,2,2023-05-27,17703624.021,16301793.872,0.0,25958.16,5
148,148,9CKPJ87AVOJ6MQ71B,Nissan,9,935 TUN 4815,PL,Poids Lourd,1,2015-03-26,16979664.37,9823398.175,3024.82,28091.38,3
149,149,IURO055YUAZ2IQQDH,Ford,8,954 TUN 4183,VP,Voiture Particulière,50,2014-09-08,42658028.76,33143947.618,0.0,9993.39,0
150,150,ZSK6VVY1I6KHTH9KW,Hyundai,5,789 TUN 5618,VP,Voiture Particulière,7,2012-04-10,38119922.954,12399671.586,0.0,4873.61,2
151,151,4H1NIDOSILFDEAIT6,Fiat,5,675 TUN 4796,TC,Transport en Commun,2,2005-02-01,37244010.732,24305275.151,0.0,5088.64,5
152,152,JFPJQ077658LC7PFE,Hyundai,7,262 TUN 6046,VP,Voiture Particulière,7,2012-10-23,39074450.979,33840281.358,0.0,27088.89,1
153,153,1Q768MVF543MUIHJY,Mercedes,7,318 TUN 9141,PL,Poids Lourd,1,2000-07-26,23388217.274,14821144.116,11761.25,39447.85,5
154,154,O2GYM3R4T7UZ9JDB4,Peugeot,13,862 TUN 7902,VP,Voiture Particulière,30,2024-02-23,36905905.157,19809434.826,0.0,12636.11,2
155,155,WD5DCOZS6GRZ78E4Z,Nissan,11,531 TUN 6018,VP,Voiture Particulière,9,2002-11-26,,17729715.24,0.0,31341.13,0
156,156,DAC8SC48K6ATFYQYD,BMW,14,222 TUN 7181,VP,Voiture Particulière,50,2003-03-24,22990222.389,21328060.963,0.0,1333.47,0
157,157,7LUR9ABW3WGHIIM0M,Opel,20,625 TUN 7834,VP,Voiture Particulière,5,2012-11-07,83523829.685,54532930.398,0.0,29380.41,4
158,158,723TF9FSR60FKSRT1,Hyundai,15,247 TUN 7968,VP,Voiture Particulière,4,2016-10-13,41644161.615,16844567.776,0.0,7600.84,0
159,159,2QR7N1FAFIWYFVCMZ,Volkswagen,17,775 TUN 3541,TC,Transport en Commun,2,2003-06-28,18112330.916,5852744.623,0.0,5814.9,2
160,160,CPJ93IP2R36G8DYD6,Kia,11,436 TUN 2117,VU,Véhicule Utilitaire,50,2010-11-15,45627998.274,19277893.776,6982.82,22486.45,0
161,161,JJC5J9FO8EKZNWT01,BMW,6,946 TUN 2398,VU,Véhicule Utilitaire,7,2016-06-14,20184276.009,7891831.375,10323.78,31516.63,3
162,162,NR4MVL3ARYMYDST69,Hyundai,9,933 TUN 6373,VP,Voiture Particulière,30,2019-04-25,48705259.533,46071876.42,0.0,11464.99,5
163,163,WAHA2950N71ZSX5SO,Mercedes,7,398 TUN 5994,VP,Voiture Particulière,2,2016-11-04,58647357.022,46310170.021,0.0,17438.49,4
164,164,YQU4RM4GO58QT0WGU,Citroen,6,256 TUN 8113,VP,Voiture Particulière,7,2000-07-03,21799860.307,17815733.366,0.0,24126.35,3
165,165,DRNLN56SAFHA8NZEV,Toyota,20,736 TUN 3281,PL,Poids Lourd,2,2018-02-23,53193317.93,42904088.149,12101.41,17019.87,2
166,166,8BIQ8IU8PKLN7XP05,Kia,7,416 TUN 1397,VP,Voiture Particulière,2,2010-02-26,40392138.905,28658769.656,0.0,938.43,5
167,167,YDLTARJ4A61YEK82G,Opel,12,163 TUN 6934,VP,Voiture Particulière,16,2024-07-07,49564497.489,33952010.763,0.0,26301.71,4
168,168,UEURXG5TN9PN66OSY,Fiat,10,465 TUN 3428,VP,Voiture Particulière,4,2019-03-09,84829317.844,56658514.036,0.0,35532.41,0
