ID_POLICE,NUM_POLICE,ID_BRANCHE,CODE_PRODUIT,LIB_PRODUIT,BRANCHE,ID_AGENT,ID_CLIENT,TYPE_POLICE,DUREE,PERIODICITE,DATE_EFFET,DATE_ECHEANCE,POLRP,SITUATION,BONUS_MALUS
39,A0000039,1,38,Carte Orange,AUTO,96,25089,individuel,S,A,2019-05-14,2020-05-13,,S,6.0
40,A0000040,1,30,Automobile,AUTO,32,2565,individuel,R,T,2022-04-25,2023-04-25,,V,5.0
41,A0000041,1,38,Carte Orange,AUTO,88,12817,individuel,R,T,2019-12-15,2020-12-14,,V,10.0
42,A0000042,1,37,Carte Verte,AUTO,126,8783,individuel,R,A,2021-12-19,2022-12-19,,T,3.0
43,A0000043,1,36,Deux Roues,AUTO,157,22157,flotte,F,S,2023-08-04,2024-08-03,,V,3.0
44,A0000044,1,30,Automobile,AUTO,91,13715,individuel,R,S,2019-12-08,2020-12-07,,V,4.0
45,A0000045,1,35,Flotte,AUTO,121,7864,individuel,R,S,2019-11-30,2020-11-29,,T,5.0
46,A0000046,1,30,Automobile,AUTO,129,29664,flotte,R,S,2023-06-07,2024-06-06,A0000041,V,9.0
47,A0000047,1,36,Deux Roues,AUTO,71,462,individuel,R,A,2023-10-24,2024-10-23,,R,3.0
48,A0000048,1,35,Flotte,AUTO,86,16556,flotte,R,A,2021-01-24,2022-01-24,,V,3.0
49,A0000049,1,30,Automobile,AUTO,140,12828,individuel,S,C,2023-07-26,2024-07-25,,V,2.0
50,A0000050,1,30,Automobile,AUTO,176,28429,individuel,S,C,2020-09-09,2021-09-09,,V,5.0
51,A0000051,1,30,Automobile,AUTO,180,4058,flotte,R,S,2022-04-02,2023-04-02,,V,5.0
52,A0000052,1,38,Carte Orange,AUTO,95,20439,individuel,S,S,2024-03-11,2025-03-11,,V,5.0
53,A0000053,1,37,Carte Verte,AUTO,146,14321,flotte,R,C,2019-08-30,2020-08-29,,V,5.0
54,A0000054,1,36,Deux Roues,AUTO,47,669,individuel,R,S,2023/05/24,2024-05-23,,V,3.0
55,A0000055,1,36,Deux Roues,AUTO,129,28168,individuel,R,S,2022-11-21,2023-11-21,,T,5.0
56,A0000056,1,35,Flotte,AUTO,196,6530,individuel,R,C,2021-09-02,2022-09-02,,T,4.0
57,A0000057,1,38,Carte Orange,AUTO,169,11412,individuel,S,A,2019-11-07,2020-11-06,,R,8.0
58,A0000058,1,35,Flotte,AUTO,108,11415,flotte,R,A,2019-05-20,2020-05-19,,V,4.0
59,A0000059,1,35,Flotte,AUTO,18,18661,individuel,S,A,2019-06-10,2020-06-09,,T,8.0
60,A0000060,1,36,Deux Roues,AUTO,62,2104,individuel,S,T,2022-05-04,2023-05-04,,V,4.0
61,A0000061,1,30,Automobile,AUTO,88,21888,individuel,R,S,2023-05-16,2024-05-15,,V,3.0
62,A0000062,1,37,Carte Verte,AUTO,157,2009,flotte,R,A,2021-01-28,2022-01-28,A0000027,R,5.0
63,A0000063,1,30,Automobile,AUTO,136,9261,individuel,R,A,2022-04-03,2023-04-03,,T,5.0
64,A0000064,1,36,Deux Roues,AUTO,130,9945,individuel,R,T,2020-10-30,2021-10-30,,V,3.0
65,A0000065,1,35,Flotte,AUTO,56,22786,flotte,S,C,2020-02-21,2021-02-20,,T,3.0
66,A0000066,1,38,Carte Orange,AUTO,68,16511,flotte,R,A,2020-08-10,2021-08-10,,V,5.0
67,A0000067,1,30,Automobile,AUTO,92,26608,individuel,R,S,2023-07-07,2024-07-06,,V,5.0
68,A0000068,1,36,Deux Roues,AUTO,169,9081,flotte,R,A,2022-11-25,2023-11-25,A0000053,V,4.0
69,A0000069,1,30,Automobile,AUTO,56,5856,individuel,R,T,2020-07-29,2021-07-29,,T,6.0
70,A0000070,1,36,Deux Roues,AUTO,105,15874,individuel,R,S,,2025-06-08,,S,5.0
71,A0000071,1,30,Automobile,AUTO,88,86,individuel,R,T,2019-04-03,2020-04-02,,V,5.0
72,A0000072,1,35,Flotte,AUTO,21,6110,individuel,S,A,2024-04-27,2025-04-27,,V,4.0
73,A0000073,1,36,Deux Roues,AUTO,120,3768,individuel,S,A,2024-03-21,2025-03-21,,V,4.0
74,A0000074,1,37,Carte Verte,AUTO,104,20875,flotte,R,S,2020-06-02,2021-06-02,A0000056,T,5.0
75,A0000075,1,36,Deux Roues,AUTO,118,5492,individuel,R,T,2022-01-18,2023-01-18,,V,1.0
76,A0000076,1,38,Carte Orange,AUTO,61,23674,individuel,S,A,2023-11-13,2024-11-12,,V,4.0
77,A0000077,1,35,Flotte,AUTO,137,2901,individuel,R,T,2023-02-09,2024-02-09,,S,4.0
78,A0000078,1,37,Carte Verte,AUTO,104,11682,individuel,F,A,2022-07-25,2023-07-25,,V,1.0
79,A0000079,1,30,Automobile,AUTO,182,2707,individuel,S,A,2022-03-08,2023-03-08,,V,6.0
80,A0000080,1,37,Carte Verte,AUTO,43,7575,flotte,R,A,2019-03-20,2020-03-19,,V,2.0
81,A0000081,1,36,Deux Roues,AUTO,49,24645,individuel,R,A,2020-01-25,2021-01-24,,R,3.0
82,A0000082,1,37,Carte Verte,AUTO,151,2201,individuel,R,A,2019-01-01,2020-01-01,,V,6.0
83,A0000083,1,36,Deux Roues,AUTO,65,1229,individuel,R,C,2020-11-20,2021-11-20,,T,7.0
84,A0000084,1,37,Carte Verte,AUTO,166,12555,individuel,R,A,2023-11-20,2024-11-19,,T,6.0
85,A0000085,1,37,Carte Verte,AUTO,28,20878,individuel,R,A,2019-11-16,2020-11-15,,V,4.0
86,A0000086,1,30,Automobile,AUTO,11,26676,individuel,R,A,2022-09-14,2023-09-14,,V,5.0
87,A0000087,1,35,Flotte,AUTO,136,8433,individuel,R,T,2020-06-21,2021-06-21,,R,5.0
88,A0000088,1,30,Automobile,AUTO,63,9930,individuel,S,A,2022-08-08,2023-08-08,,V,2.0
89,A0000089,1,30,Automobile,AUTO,184,15774,flotte,F,A,2020-05-05,2021-05-05,A0000016,V,2.0
90,A0000090,1,38,Carte Orange,AUTO,93,10393,individuel,R,S,2019-03-30,2020-03-29,,S,8.0
91,A0000091,1,37,Carte Verte,AUTO,31,12921,individuel,S,T,2024-11-27,2025-11-27,,T,2.0
92,A0000092,1,37,Carte Verte,AUTO,161,6806,individuel,R,C,2022-12-09,2023-12-09,,V,3.0
93,A0000093,1,38,Carte Orange,AUTO,193,4763,individuel,R,C,2023-11-27,2024-11-26,,R,7.0
94,A0000094,1,38,Carte Orange,AUTO,36,16161,individuel,R,C,2019-08-28,2020-08-27,,V,8.0
95,A0000095,1,35,Flotte,AUTO,148,19811,individuel,F,C,2020-11-29,2021-11-29,,V,6.0
96,  A0000096  ,1,30,Automobile,AUTO,141,16412,flotte,R,A,2019-01-29,2020-01-29,A0000085,V,1.0
97,A0000097,1,38,Carte Orange,AUTO,60,9932,flotte,F,S,2020-04-22,2021-04-22,A0000024,V,1.0
98,A0000098,1,35,Flotte,AUTO,23,5759,individuel,R,T,2020-08-02,2021-08-02,,V,8.0
99,A0000099,1,37,Carte Verte,AUTO,10,28129,individuel,S,A,2024-11-03,2025-11-03,,S,7.0
100,A0000100,1,36,Deux Roues,AUTO,120,20998,individuel,R,A,2020-06-08,2021-06-08,,S,4.0
101,A0000101,1,35,Flotte,AUTO,105,10648,individuel,R,A,2023-11-04,2024-11-03,,A,5.0
102,A0000102,1,35,Flotte,AUTO,158,9683,individuel,R,A,2019-10-10,2020-10-09,,V,2.0
103,A0000103,1,35,Flotte,AUTO,171,4923,individuel,S,T,2023-06-28,2024-06-27,,V,2.0
104,A0000104,1,30,Automobile,AUTO,16,14154,individuel,R,A,2020-05-09,2021-05-09,,V,7.0
105,A0000105,1,36,Deux Roues,AUTO,40,18092,individuel,R,T,2023-08-22,2024-08-21,,V,5.0
106,A0000106,1,37,Carte Verte,AUTO,36,13554,individuel,R,A,2019-12-13,,,R,3.0
107,A0000107,1,36,Deux Roues,AUTO,7,14863,individuel,R,A,2021-03-27,,,A,4.0
108,A0000108,1,35,Flotte,AUTO,70,14157,individuel,R,A,2019-07-05,2020-07-04,,V,2.0
109,A0000109,1,30,Automobile,AUTO,118,7586,individuel,R,A,2019-08-15,2020-08-14,,V,8.0
110,A0000110,1,30,Automobile,AUTO,123,25647,flotte,R,C,2023-08-06,2024-08-05,,V,5.0
111,A0000111,1,38,Carte Orange,AUTO,134,7337,individuel,R,A,2021-12-31,2022-12-31,,V,5.0
112,A0000112,1,37,Carte Verte,AUTO,44,20761,individuel,R,A,2024-03-02,2025-03-02,,T,10.0
113,A0000113,1,36,Deux Roues,AUTO,179,29560,individuel,F,T,2023-06-29,2024-06-28,,S,4.0
114,A0000114,1,37,Carte Verte,AUTO,146,6159,individuel,F,A,2019-07-13,2020-07-12,,V,6.0
115,A0000115,1,35,Flotte,AUTO,111,23922,individuel,R,C,2019-06-14,2020-06-13,,V,5.0
116,A0000116,1,37,Carte Verte,AUTO,107,2368,individuel,R,A,2022-09-08,08-09-2023,,V,5.0
117,A0000117,1,30,Automobile,AUTO,156,21438,flotte,R,S,2021-11-26,2022-11-26,A0000032,V,8.0
118,A0000118,1,38,Carte Orange,AUTO,124,21888,individuel,R,A,2024-01-13,2025-01-12,,V,2.0
119,A0000119,1,30,Automobile,AUTO,138,1648,individuel,R,A,2024-01-23,2025-01-22,,S,5.0
120,A0000120,1,37,Carte Verte,AUTO,179,16971,individuel,R,T,2022-12-30,2023-12-30,,V,3.0
121,A0000121,1,35,Flotte,AUTO,40,21780,individuel,R,A,2022-08-15,2023-08-15,,V,4.0
122,A0000122,1,35,Flotte,AUTO,87,16635,flotte,S,S,2020-08-23,2021-08-23,,V,1.0
123,A0000123,1,30,Automobile,AUTO,61,14212,individuel,R,A,2021-06-19,2022-06-19,,V,7.0
124,A0000124,1,36,Deux Roues,AUTO,83,13727,individuel,S,A,2021-02-13,2022-02-13,,S,7.0
125,A0000125,1,36,Deux Roues,AUTO,21,19175,individuel,R,A,2022-02-05,2023-02-05,,V,6.0
126,A0000126,1,30,Automobile,AUTO,158,10377,flotte,S,T,2024-10-31,2025-10-31,A0000052,V,1.0
127,A0000127,1,38,Carte Orange,AUTO,60,21072,individuel,R,T,2019-10-10,2020-10-09,,V,5.0
128,A0000128,1,37,Carte Verte,AUTO,112,7943,individuel,R,S,,,,T,8.0
129,A0000129,1,30,Automobile,AUTO,78,11604,individuel,R,A,2024-12-10,2025-12-10,,V,5.0
130,A0000130,1,37,Carte Verte,AUTO,110,26714,individuel,R,C,2024-12-29,2025-12-29,,V,9.0
131,A0000131,1,37,Carte Verte,AUTO,95,17009,individuel,R,A,2019-09-13,2020-09-12,,V,3.0
132,A0000132,1,38,Carte Orange,AUTO,24,9416,individuel,R,T,2022-02-25,2023-02-25,,V,10.0
133,A0000133,1,30,Automobile,AUTO,56,25499,individuel,R,A,2020-09-30,2021-09-30,,V,8.0
134,A0000134,1,30,Automobile,AUTO,83,26753,individuel,R,T,2022-09-23,2023-09-23,,S,5.0
135,A0000135,1,30,Automobile,AUTO,165,10581,flotte,R,A,2021-11-14,2022-11-14,A0000094,V,6.0
136,A0000136,1,38,Carte Orange,AUTO,185,9656,individuel,S,S,2021-07-02,2022-07-02,,A,7.0
137,A0000137,1,35,Flotte,AUTO,166,22518,individuel,S,T,2023-09-08,2024-09-07,,V,4.0
138,A0000138,1,35,Flotte,AUTO,60,22918,individuel,R,T,2021-01-01,2022-01-01,,V,3.0
139,A0000139,1,36,Deux Roues,AUTO,127,17819,individuel,R,T,2020-10-13,2021-10-13,,V,2.0
140,A0000140,1,37,Carte Verte,AUTO,139,7266,flotte,R,S,2024-10-25,2025-10-25,,V,5.0
141,A0000141,1,35,Flotte,AUTO,71,27602,flotte,R,A,,2022-07-30,,V,3.0
142,A0000142,1,35,Flotte,AUTO,49,4210,flotte,S,A,2024-09-14,2025-09-14,A0000042,V,3.0
143,A0000143,1,30,Automobile,AUTO,11,28475,individuel,R,T,2021-03-31,2022-03-31,,V,5.0
144,A0000144,1,30,Automobile,AUTO,197,5655,individuel,R,A,2022-09-22,2023-09-22,,V,2.0
145,A0000145,1,36,Deux Roues,AUTO,2,6622,individuel,R,A,2019-05-09,2020-05-08,,V,2.0
146,A0000146,1,36,Deux Roues,AUTO,127,21352,individuel,S,A,2021-06-12,2022-06-12,,V,8.0
147,A0000147,1,37,Carte Verte,AUTO,183,12217,individuel,R,C,2022-12-02,2023-12-02,,R,6.0
148,A0000148,1,38,Carte Orange,AUTO,158,2172,flotte,R,A,2024-03-27,2025-03-27,,V,4.0
149,A0000149,1,37,Carte Verte,AUTO,141,20142,individuel,R,T,2021-05-17,2022-05-17,,V,2.0
150,A0000150,1,37,Carte Verte,AUTO,19,2468,flotte,R,A,2020-10-19,2021-10-19,A0000008,V,2.0
151,A0000151,1,36,Deux Roues,AUTO,192,23776,individuel,R,C,2020-05-21,2021-05-21,,V,3.0
152,A0000152,1,30,Automobile,AUTO,68,26277,individuel,R,C,2020-11-15,2021-11-15,,R,1.0
153,A0000153,1,30,Automobile,AUTO,145,11868,individuel,R,A,2020-11-29,2021-11-29,,R,4.0
154,A0000154,1,38,Carte Orange,AUTO,54,24747,individuel,R,C,2020-03-13,2021-03-13,,R,5.0
155,A0000155,1,36,Deux Roues,AUTO,171,11114,individuel,R,A,2023-09-19,2024-09-18,,V,6.0
156,A0000156,1,30,Automobile,AUTO,78,1023,individuel,F,A,2020-08-02,2021-08-02,,A,5.0
157,A0000157,1,35,Flotte,AUTO,38,7161,individuel,R,S,2021-11-10,2022-11-10,,R,3.0
158,A0000158,1,36,Deux Roues,AUTO,6,12306,individuel,R,A,2020-09-07,2021-09-07,,V,1.0
159,A0000159,1,38,Carte Orange,AUTO,85,5932,individuel,S,C,2022-05-21,2023-05-21,,V,6.0
160,A0000160,1,36,Deux Roues,AUTO,160,10972,individuel,R,S,2022-12-20,2023-12-20,,V,3.0
161,A0000161,1,38,Carte Orange,AUTO,45,22316,individuel,R,T,2022-06-12,,,V,4.0
162,A0000162,1,35,Flotte,AUTO,95,25040,individuel,R,A,2019-09-25,2020-09-24,,V,3.0
163,A0000163,1,38,Carte Orange,AUTO,141,1708,individuel,S,A,2019-09-12,2020-09-11,,T,4.0
164,A0000164,1,36,Deux Roues,AUTO,72,1703,individuel,R,A,2024-08-22,2025-08-22,,V,5.0
165,A0000165,1,36,Deux Roues,AUTO,129,24772,individuel,S,A,2019-11-03,2020-11-02,,V,4.0
166,A0000166,1,37,Carte Verte,AUTO,121,4422,individuel,R,S,2023-07-25,2024-07-24,,V,5.0
167,A0000167,1,38,Carte Orange,AUTO,176,16419,individuel,F,A,2024-06-12,2025-06-12,,V,5.0
168,A0000168,1,38,Carte Orange,AUTO,195,8188,flotte,R,A,2019-06-12,2020-06-11,A0000153,V,8.0
169,A0000169,1,30,Automobile,AUTO,54,28961,individuel,R,T,2022-08-13,2023-08-13,,V,2.0
170,A0000170,1,38,Carte Orange,AUTO,154,20126,individuel,R,A,2021-04-09,2022-04-09,,V,5.0
171,A0000171,1,30,Automobile,AUTO,165,11335,individuel,S,A,2019-02-04,,,S,3.0
172,A0000172,1,35,Flotte,AUTO,126,4770,individuel,S,T,2020-03-12,2021-03-12,,V,4.0
173,A0000173,1,37,Carte Verte,AUTO,48,4252,individuel,R,A,2022-03-04,2023-03-04,,A,6.0
174,A0000174,1,30,Automobile,AUTO,68,13508,individuel,R,A,2020-12-22,2021-12-22,,V,5.0
175,A0000175,1,30,Automobile,AUTO,15,18490,individuel,S,A,2020-11-09,2021-11-09,,V,8.0
176,A0000176,1,35,Flotte,AUTO,66,18227,individuel,R,C,2024-10-17,2025-10-17,,V,6.0
177,A0000177,1,38,Carte Orange,AUTO,121,22832,individuel,R,A,2023-12-22,2024-12-21,,A,5.0
178,A0000178,1,30,Automobile,AUTO,63,29325,individuel,F,S,2021-07-03,2022-07-03,,S,8.0
179,A0000179,1,36,Deux Roues,AUTO,168,26582,individuel,F,A,2024-06-22,2025-06-22,,V,10.0
180,A0000180,1,30,Automobile,AUTO,190,5380,individuel,S,S,2023-07-13,2024-07-12,,A,1.0
181,A0000181,1,37,Carte Verte,AUTO,70,6174,individuel,S,A,2021-02-25,2022-02-25,,V,6.0
182,A0000182,1,38,Carte Orange,AUTO,118,11775,individuel,R,A,2019-01-12,2020-01-12,,T,6.0
183,A0000183,1,37,Carte Verte,AUTO,16,27030,individuel,R,T,2023-02-14,2024-02-14,,V,5.0
184,A0000184,1,37,Carte Verte,AUTO,73,7607,individuel,R,T,2022-08-07,2023-08-07,,V,5.0
185,A0000185,1,38,Carte Orange,AUTO,73,11140,individuel,S,A,2024-09-12,2025-09-12,,V,4.0
186,A0000186,1,37,Carte Verte,AUTO,63,23713,individuel,R,A,2020-05-11,2021-05-11,,R,4.0
187,A0000187,1,37,Carte Verte,AUTO,92,6724,flotte,S,A,2022-04-24,2023-04-24,,V,3.0
188,A0000188,1,35,Flotte,AUTO,42,13444,individuel,R,T,2023-05-19,2024-05-18,,V,3.0
189,A0000189,1,38,Carte Orange,AUTO,160,28388,individuel,R,A,2021-05-30,2022-05-30,,T,6.0
190,A0000190,1,35,Flotte,AUTO,118,9761,flotte,F,T,2019-02-17,2020-02-17,,T,2.0
191,A0000191,1,38,Carte Orange,AUTO,152,13849,flotte,S,S,2020-06-05,2021-06-05,,V,5.0
192,A0000192,1,37,Carte Verte,AUTO,118,3956,individuel,R,A,2023-03-14,2024-03-13,,V,6.0
193,A0000193,1,37,Carte Verte,AUTO,118,17959,individuel,R,A,2019-08-15,2020-08-14,,V,5.0
194,A0000194,1,35,Flotte,AUTO,4,1434,individuel,S,S,2023-09-01,2024-08-31,,T,4.0
195,A0000195,1,37,Carte Verte,AUTO,14,13528,flotte,R,T,2019-07-19,2020-07-18,A0000137,V,4.0
196,A0000196,1,35,Flotte,AUTO,96,28455,flotte,R,C,2022-03-03,2023-03-03,,V,5.0
197,A0000197,1,36,Deux Roues,AUTO,195,10280,individuel,R,S,2022-08-24,2023-08-24,,V,2.0
198,A0000198,1,37,Carte Verte,AUTO,110,1467,individuel,R,C,2021-02-21,2022-02-21,,V,6.0
199,A0000199,1,36,Deux Roues,AUTO,123,29190,individuel,R,A,2021/12/29,,,T,3.0
200,A0000200,1,36,Deux Roues,AUTO,193,4403,individuel,R,A,2020-07-17,2021-07-17,,S,5.0
201,A0000201,1,38,Carte Orange,AUTO,83,21448,flotte,R,T,2024-02-19,2025-02-18,A0000131,T,4.0
202,A0000202,1,36,Deux Roues,AUTO,185,6739,individuel,R,T,2020-03-06,2021-03-06,,V,9.0
203,  A0000203  ,1,38,Carte Orange,AUTO,37,12991,individuel,S,C,2019-06-21,2020-06-20,,S,5.0
204,A0000204,1,38,Carte Orange,AUTO,64,28046,individuel,R,T,2024-01-08,2025-01-07,,V,5.0
205,A0000205,1,36,Deux Roues,AUTO,165,18267,individuel,R,C,2022-10-28,2023-10-28,,V,5.0
206,A0000206,1,30,Automobile,AUTO,104,25087,individuel,R,A,2019-05-23,2020-05-22,,V,6.0
207,A0000207,1,35,Flotte,AUTO,64,13310,individuel,F,T,2019-12-24,2020-12-23,,V,5.0
208,A0000208,1,37,Carte Verte,AUTO,132,2132,individuel,R,A,2024-08-09,2025-08-09,,V,4.0
209,A0000209,1,38,Carte Orange,AUTO,128,18340,individuel,R,A,2022-07-25,2023-07-25,,V,5.0
210,A0000210,1,38,Carte Orange,AUTO,45,3427,individuel,S,T,2022-11-04,2023-11-04,,V,3.0
211,A0000211,1,36,Deux Roues,AUTO,186,29249,flotte,R,T,2019-08-27,2020-08-26,A0000009,V,4.0
212,A0000212,1,30,Automobile,AUTO,99,29063,individuel,S,A,2019-06-15,2020-06-14,,R,3.0
213,A0000213,1,38,Carte Orange,AUTO,10,12752,individuel,R,A,2022-05-03,2023-05-03,,V,2.0
214,A0000214,1,38,Carte Orange,AUTO,161,14890,individuel,F,T,2020-01-06,2021-01-05,,V,7.0
215,A0000215,1,38,Carte Orange,AUTO,180,2847,individuel,R,A,2020-11-29,2021-11-29,,R,4.0
216,A0000216,1,30,Automobile,AUTO,7,21605,individuel,R,T,2020-10-17,2021-10-17,,V,4.0
217,A0000217,1,38,Carte Orange,AUTO,22,24857,flotte,R,A,2020-02-29,2021-02-28,A0000008,R,7.0
218,A0000218,1,35,Flotte,AUTO,9,15251,individuel,R,S,,2024-01-29,,S,8.0
219,A0000219,1,35,Flotte,AUTO,101,10343,individuel,R,T,2024-09-23,2025-09-23,,S,4.0
220,A0000220,1,30,Automobile,AUTO,189,9441,flotte,S,T,2020-11-11,2021-11-11,A0000154,V,7.0
221,A0000221,1,37,Carte Verte,AUTO,187,19663,individuel,R,S,2024-06-07,2025-06-07,,V,4.0
222,A0000222,1,35,Flotte,AUTO,163,25552,individuel,R,C,2021-04-11,2022-04-11,,V,3.0
223,A0000223,1,37,Carte Verte,AUTO,132,23040,individuel,S,A,2024-07-05,2025-07-05,,V,6.0
224,A0000224,1,30,Automobile,AUTO,172,10034,individuel,R,C,2022-03-14,2023-03-14,,V,5.0
225,A0000225,1,30,Automobile,AUTO,195,837,individuel,F,A,2023-10-18,2024-10-17,,V,1.0
226,A0000226,1,35,Flotte,AUTO,58,7658,flotte,R,A,,2025-05-24,A0000019,V,4.0
227,A0000227,1,36,Deux Roues,AUTO,24,17335,individuel,R,A,2021-11-13,2022-11-13,,T,4.0
228,A0000228,1,36,Deux Roues,AUTO,122,5338,individuel,R,S,,2025-12-31,,R,7.0
229,A0000229,1,35,Flotte,AUTO,93,25491,individuel,R,T,2021-11-10,2022-11-10,,V,6.0
230,A0000230,1,30,Automobile,AUTO,138,28722,flotte,R,A,2022-07-31,2023-07-31,,V,3.0
231,A0000231,1,30,Automobile,AUTO,32,8620,individuel,S,S,2024-02-25,2025-02-24,,V,3.0
232,A0000232,1,35,Flotte,AUTO,192,16702,individuel,F,S,2024-01-09,2025-01-08,,V,3.0
233,A0000233,1,30,Automobile,AUTO,191,434,individuel,R,S,2023-09-18,2024-09-17,,V,2.0
234,A0000234,1,30,Automobile,AUTO,174,18102,individuel,R,A,2019-07-01,2020-06-30,,R,4.0
235,A0000235,1,35,Flotte,AUTO,153,14187,flotte,F,A,2023-02-10,2024-02-10,A0000223,R,5.0
236,A0000236,1,30,Automobile,AUTO,143,19544,individuel,S,T,2024-11-23,2025-11-23,,V,7.0
237,A0000237,1,36,Deux Roues,AUTO,31,14531,individuel,R,S,2024-04-20,2025-04-20,,V,3.0
238,A0000238,1,38,Carte Orange,AUTO,107,17205,individuel,S,A,2022-08-16,2023-08-16,,V,9.0
239,A0000239,1,30,Automobile,AUTO,125,10911,individuel,R,T,2024-07-21,2025-07-21,,V,10.0
240,A0000240,1,30,Automobile,AUTO,184,17856,individuel,S,C,2024-04-23,2025-04-23,,T,3.0
241,A0000241,1,37,Carte Verte,AUTO,122,23282,individuel,F,T,2019-08-06,2020-08-05,,V,2.0
242,A0000242,1,36,Deux Roues,AUTO,178,23670,flotte,F,T,2024-03-19,2025-03-19,A0000031,T,3.0
243,A0000243,1,35,Flotte,AUTO,105,24894,individuel,R,A,2022-10-04,2023-10-04,,V,5.0
244,A0000244,1,36,Deux Roues,AUTO,60,19736,individuel,R,S,,2021-03-04,,V,6.0
