NUM_QUITTANCE,ID_BRANCHE,BRANCHE,ID_POLICE,ID_AGENT,ANNEE_EMISSION,MOIS_EMISSION,DATE_EMISSION,DATE_ANNULATION,MOIS_ANNULATION,ANNEE_ANNULATION,NATURE_ANNULATION,SITUATION_ANNULATION,MT_RC_ANN,MT_DOM_ANN,MT_INC_ANN,MT_VOL_ANN,MT_PNN_ANN,MT_FGA_ANN,MT_TIMBRE,MT_PTT_ANN,MT_COMMISSION_ANN
QA00000585,1,AUTO,9458,200,2025,3,2023-03-31,2025-07-15,3,2023,Annulation,En Cours,510.871,237.542,0.0,0.0,748.413,127.718,6.394,939.116,148.593
QA00000586,1,AUTO,17790,47,2024,10,2022-09-29,2023-01-30,9,2022,Rist.Caisse,Anterieur,1029.854,261.619,0.0,19.612,1311.085,257.464,6.428,1660.693,170.194
QA00000646,1,AUTO,7199,196,2021,9,2020-02-25,2021-07-30,7,2021,Annulation,En Cours,432.35,64.838,46.684,42.73,586.602,108.088,6.755,738.99,113.567
QA00000647,1,AUTO,17486,107,2022,8,2021-03-02,2022-12-27,12,2022,Annulation,Anterieur,779.682,0.0,0.0,0.0,796.882,194.921,13.496,1046.623,172.405
QS00000667,3,SANTE,29320,136,2024,2,2022-10-27,2023-05-11,10,2022,Rist.Agent,En Cours,0.0,0.0,0.0,0.0,33925.5,0.0,14.97,35652.136,3564.425
QS00000672,3,SANTE,28032,164,2021,4,2020-08-31,2022-09-22,9,2022,Ann.Cxp,Anterieur,0.0,0.0,0.0,0.0,71993.654,0.0,12.257,74616.333,5932.534
QR00000712,2,IRDS,22253,147,2024,7,2022-12-14,2023-11-03,12,2022,Rist.Cheque,En Cours,0.0,77.6,0.0,0.0,77.6,0.0,5.019,87.226,6.373
QA00000730,1,AUTO,402,180,2021,12,2021-04-14,2022-12-28,12,2022,Rist.Caisse,En Cours,828.576,234.61,85.207,64.319,1332.473,207.144,13.942,1629.428,227.722
QA00000810,1,AUTO,10648,187,2023,10,2022-08-30,2023-06-24,6,2023,Rist.Caisse,En Cours,319.583,30.809,65.988,32.692,481.579,79.896,10.518,603.753,53.845
QR00000815,2,IRDS,25738,145,2023,4,2023-02-16,2024-11-19,11,2024,Rist.Bank,En Cours,146.72,0.0,0.0,29.811,176.531,36.68,3.513,226.109,11.87
QA00000855,1,AUTO,7902,96,2020,3,2019-05-18,2024-07-26,7,2024,Rist.Cheque,En Cours,202.001,68.668,9.259,12.894,366.126,50.5,11.959,450.354,81.021
QA00000876,1,AUTO,6624,140,2023,5,2023-01-14,2023-07-05,1,2023,NEANT,Anterieur,102.299,25.708,0.0,0.0,184.929,25.575,11.913,235.803,22.852
QA00000965,1,AUTO,4948,69,2019,8,2018-07-07,2019-05-31,5,2019,Rist.Caisse,Anterieur,122.098,0.0,0.0,0.0,175.789,30.524,9.551,227.957,21.294
QA00001087,1,AUTO,6618,125,2019,12,2019-01-09,2024-06-28,6,2024,Rist.Cheque,Anterieur,7874.647,0.0,0.0,45.019,7991.656,1968.662,14.937,10587.036,1435.331
QR00001088,2,IRDS,22297,131,2020,1,2019-04-25,2023-06-14,6,2023,Annulation,En Cours,0.0,50.105,0.0,73.278,123.383,0.0,7.027,136.701,15.432
QR00001100,2,IRDS,27580,127,2022,2,2022-06-18,2023-02-27,2,2023,Rist.Agent,Anterieur,0.0,0.0,0.0,54.909,54.909,0.0,4.815,62.573,9.223
QS00001118,3,SANTE,28423,85,2021,1,2020-12-06,2023-08-11,8,2023,Ann.Cxp,Anterieur,0.0,0.0,0.0,0.0,49527.443,0.0,5.625,51304.49,3970.703
QR00001223,2,IRDS,23543,61,2022,10,2021-02-27,2022-12-26,12,2022,NEANT,Anterieur,0.0,19.573,0.0,25.596,45.169,0.0,5.541,52.859,6.896
QA00001226,1,AUTO,183,16,2024,11,2022-07-16,2023-12-08,7,2022,Ann.Cxp,En Cours,65.719,0.0,0.0,0.0,91.605,16.43,6.423,121.116,11.481
QA00001231,1,AUTO,4076,87,2022,7,2022-03-17,2024-06-21,6,2024,Rist.Caisse,Anterieur,295.218,0.0,0.0,66.927,477.239,73.805,14.206,596.591,69.382
QA00001320,1,AUTO,35,156,2023,6,2023-10-02,2024-09-03,9,2024,Ann.Cxp,En Cours,723.144,538.755,23.099,11.229,1373.413,180.786,7.781,1632.671,133.305
QA00001323,1,AUTO,14277,80,2025,8,2022-12-19,2024-06-16,12,2022,Ann.Cxp,En Cours,7556.422,0.0,0.0,9.078,7565.5,1889.105,9.419,9908.26,1447.678
QA00001365,1,AUTO,3029,6,2025,10,2022-06-01,2024-12-19,6,2022,Ann.Cxp,En Cours,737.187,0.0,0.0,53.514,821.309,184.297,14.392,1077.928,142.88
QA00001430,1,AUTO,15043,161,2025,2,2025-04-21,,10,2023,Rist.Agent,Anterieur,118.035,136.555,0.0,0.0,283.013,29.509,10.647,341.494,41.023
QA00001466,1,AUTO,11950,116,2020,6,2020-03-27,2021-11-21,11,2021,Ann.Cxp,En Cours,149.159,78.624,36.747,17.299,373.755,37.29,13.785,453.374,80.043
QA00001472,1,AUTO,11326,41,2024,3,2022-03-27,2024-06-10,3,2022,Rist.Bank,En Cours,146.838,84.661,35.526,28.739,315.494,36.709,10.139,379.78,30.573
QR00001486,2,IRDS,24390,79,1900,11,2022-09-28,2024-11-26,9,2022,Ann.Cxp,Anterieur,0.0,0.0,0.0,0.0,0.0,0.0,4.64,4.64,0.606
QA00001580,1,AUTO,16754,55,2020,2,2020-06-18,2023-01-24,1,2023,Annulation,En Cours,338.142,0.0,45.232,0.0,442.225,84.535,7.412,558.205,54.791
QA00001609,1,AUTO,11152,102,2025,2,2022-07-16,2024-06-14,7,2022,Ann.Cxp,En Cours,296.378,64.74,83.229,0.0,471.555,74.094,14.011,585.098,92.28
QA00001626,1,AUTO,15366,92,2021,10,2020-05-30,2021-07-18,7,2021,Ann.Cxp,Anterieur,49.505,0.0,0.0,8.684,136.892,12.376,6.357,166.487,25.832
QR00001631,2,IRDS,20732,71,2024,6,2024-06-23,2024-07-23,6,2024,Annulation,En Cours,254.37,134.343,0.0,19.887,408.6,63.593,7.03,507.672,44.368
QA00001741,1,AUTO,5226,54,2025,6,2022-05-30,2024-02-26,5,2022,Rist.Caisse,En Cours,606.196,0.0,92.341,27.174,725.711,151.549,13.186,940.781,97.368
QA00001765,1,AUTO,1168,22,1900,4,2021-06-04,2023-07-20,7,2023,Annulation,Anterieur,54.62,20.033,14.582,0.0,103.95,13.655,14.026,137.218,20.692
QA00001853,1,AUTO,14960,42,2023,1,2022-02-02,2024-01-18,1,2024,Annulation,Anterieur,157.753,204.868,19.069,17.054,398.744,39.438,11.467,475.636,57.104
QR00001854,2,IRDS,21554,138,2020,9,2020-07-08,2023-10-07,10,2023,Rist.Cheque,En Cours,0.0,0.0,0.0,12.107,12.107,0.0,4.51,17.359,2.554
QA00001900,1,AUTO,19166,173,2024,9,2024-07-04,2024-11-17,7,2024,Rist.Bank,Anterieur,103.585,0.0,53.125,0.0,227.489,25.896,7.858,278.002,49.092
QA00001935,1,AUTO,8357,175,2021,7,2021-10-05,2023-05-13,5,2023,Rist.Bank,En Cours,269.92,104.174,77.677,0.0,514.257,67.48,11.719,621.867,66.378
QA00001956,1,AUTO,5394,85,2025,4,2023-11-28,2025-02-03,11,2023,Ann.Cxp,Anterieur,270.938,55.608,0.0,0.0,417.079,67.734,9.713,521.636,91.204
QR00001971,2,IRDS,25065,134,2025,7,2023-01-16,2024-06-21,1,2023,Rist.Agent,En Cours,68.82,0.0,0.0,47.573,116.393,17.205,6.233,145.187,7.79
QA00001981,1,AUTO,6232,76,2025,12,2024-01-04,2024-02-06,2,2024,Ann.Cxp,Anterieur,475.492,53.96,0.0,57.633,587.085,118.873,8.519,744.931,122.24
QA00002121,1,AUTO,19793,82,2020,6,2019-03-08,2024-11-24,11,2024,NEANT,En Cours,1107.022,57.821,12.874,0.0,1290.946,276.755,13.067,1657.107,288.892
QR00002138,2,IRDS,23438,138,2025,7,2022-07-19,2024-06-04,7,2022,Annulation,Anterieur,0.0,0.0,0.0,76.835,76.835,0.0,6.595,86.688,12.93
QR00002146,2,IRDS,22308,18,2021,7,2020-04-15,2023-11-07,11,2023,NEANT,En Cours,59.169,0.0,0.0,0.0,59.169,14.792,7.145,84.604,4.435
QR00002200,2,IRDS,24978,195,2021,12,2020-12-20,2021-09-08,9,2021,Rist.Caisse,En Cours,382.97,0.0,0.0,0.0,382.97,95.743,6.9,508.723,72.116
QA00002205,1,AUTO,852,141,2021,3,2020-01-21,2021-04-30,4,2021,NEANT,En Cours,376.879,20.021,10.295,4.46,427.762,94.22,7.75,560.056,72.253
QR00002206,2,IRDS,26277,107,2020,8,2019-06-19,2022-07-30,7,2022,Annulation,En Cours,0.0,331.63,0.0,0.0,331.63,0.0,8.061,362.904,44.075
QA00002218,1,AUTO,7439,126,2023,9,2022-08-25,2023-02-13,2,2023,Rist.Cheque,En Cours,181.859,0.0,45.951,31.841,281.242,45.465,8.04,352.939,57.519
QA00002268,1,AUTO,11048,84,2025,10,2023-10-05,2024-03-04,10,2023,Ann.Cxp,Anterieur,211.544,65.655,27.073,35.195,539.889,52.886,7.621,636.019,76.36
QR00002294,2,IRDS,27368,135,9999,3,2022-10-04,2024-05-01,5,2024,Rist.Caisse,Anterieur,0.0,173.02,0.0,27.285,200.305,0.0,8.866,221.392,26.39
QA00002302,1,AUTO,6930,152,2024,2,2022-04-28,2024-03-15,4,2022,NEANT,Anterieur,932.696,78.105,118.565,0.0,1172.392,233.174,7.78,1477.77,168.451
QA00002346,1,AUTO,10385,134,2020,11,2019-06-23,2021-12-07,12,2021,Rist.Bank,Anterieur,95.234,70.865,29.754,13.555,276.151,23.808,13.802,330.112,58.777
QA00002378,1,AUTO,18215,47,2021,8,2020-09-07,2023-03-11,3,2023,Rist.Agent,Anterieur,709.864,106.793,0.0,29.495,973.091,177.466,12.858,1213.333,118.097
QA00002401,1,AUTO,7014,120,2020,7,2020-12-01,2023-02-11,2,2023,NEANT,En Cours,118.266,14.909,12.486,0.0,189.475,29.567,6.346,235.635,37.505
QA00002474,1,AUTO,14416,166,2023,4,2023-02-16,2023-08-30,2,2023,Rist.Caisse,Anterieur,780.389,0.0,0.0,37.424,861.576,195.097,10.662,1122.754,126.954
QA00002483,1,AUTO,15348,181,2021,7,2020-06-10,2023-08-24,8,2023,Rist.Caisse,Anterieur,239.263,0.0,29.908,0.0,269.171,59.816,10.804,358.249,54.079
QR00002563,2,IRDS,27325,171,2021,6,2020-10-06,2022-12-02,12,2022,Ann.Cxp,En Cours,215.487,26.922,0.0,35.059,277.468,53.872,5.105,352.955,31.126
QA00002632,1,AUTO,16377,161,2023,5,2022-05-31,2024-02-25,2,2024,Rist.Bank,En Cours,772.689,42.632,0.0,36.105,957.526,193.172,13.736,1218.036,217.368
QA00002660,1,AUTO,3984,163,2025,3,2024-04-19,2024-08-25,8,2024,Ann.Cxp,Anterieur,361.339,0.0,167.579,0.0,658.885,90.335,6.754,793.738,102.629
QR00002741,2,IRDS,25880,77,2023,10,2023-09-06,2023-10-26,10,2023,Rist.Caisse,Anterieur,0.0,133.649,0.0,0.0,17703.724684539426,0.0,9.562,149.697,20.15
QR00002820,2,IRDS,25767,111,2025,4,2022-05-13,2024-08-05,5,2022,Rist.Agent,Anterieur,0.0,48.233,0.0,0.0,48.233,0.0,4.217,55.665,8.152
QA00002888,1,AUTO,10694,87,2023,2,2022-11-01,2023-07-21,7,2023,NEANT,En Cours,120.535,0.0,14.966,0.0,135.501,30.134,11.412,184.066,33.018
QA00002940,1,AUTO,3261,166,2020,12,2020-02-22,2022-03-02,3,2022,Rist.Agent,En Cours,170.491,140.899,0.0,0.0,331.453,42.623,12.537,411.419,36.898
QA00002957,1,AUTO,11734,80,2022,9,2021-02-17,2024-08-25,8,2024,Rist.Cheque,En Cours,194.062,22.114,0.0,10.033,347.824,48.516,11.659,428.184,40.624
QA00002962,1,AUTO,11236,35,2021,3,2020-01-08,2023-06-26,6,2023,NEANT,En Cours,20.008,24.606,0.0,0.0,174.518,5.002,5.944,197.243,25.123
QR00003023,2,IRDS,21074,130,2022,2,2022-09-17,2024-01-10,1,2024,Rist.Caisse,Anterieur,134.833,149.717,0.0,0.0,284.55,33.708,9.716,346.773,21.415
QR00003044,2,IRDS,23378,62,2021,12,2021-06-20,2021-10-06,6,2021,Rist.Cheque,En Cours,0.0,0.0,0.0,56.026,56.026,0.0,3.971,63.319,7.445
QA00003183,1,AUTO,6179,56,2021,11,2019-12-20,2021-09-03,9,2021,Rist.Bank,En Cours,344.806,140.388,0.0,39.299,633.064,86.201,11.867,777.081,114.975
QA00003212,1,AUTO,3987,160,2022,10,2022-09-11,2024-06-30,6,2024,Rist.Cheque,Anterieur,298.927,0.0,0.0,50.49,451.151,74.732,7.03,556.946,80.929
QA00003291,1,AUTO,8429,45,2023,8,2023-02-14,2023-11-27,2,2023,Rist.Cheque,Anterieur,1298.7,0.0,0.0,22.016,1395.915,324.675,10.119,1835.573,193.465
QA00003328,1,AUTO,18296,34,2025,1,2023-07-23,2025-01-22,7,2023,Ann.Cxp,En Cours,116.233,0.0,0.0,0.0,116.233,29.058,8.489,161.788,22.108
QA00003469,1,AUTO,18190,65,0,10,2023-11-30,2025-10-03,11,2023,NEANT,Anterieur,286.965,94.86,56.957,35.545,511.492,71.741,10.819,629.461,76.089
QA00003503,1,AUTO,15201,179,2024,8,2024-09-04,2024-10-24,10,2024,Rist.Bank,En Cours,10826.222,5494.903,0.0,28.017,16527.569,2706.555,7.777,20501.981,2419.479
QA00003568,1,AUTO,14723,79,2025,1,2022-03-06,2025-07-24,3,2022,NEANT,Anterieur,407.458,0.0,0.0,0.0,407.458,101.865,6.293,543.611,71.518
QA00003616,1,AUTO,10363,144,2021,7,2020-06-09,2022-12-06,12,2022,Ann.Cxp,Anterieur,54.439,0.0,6.898,8.002,69.339,13.61,6.107,93.001,10.92
QS00003717,3,SANTE,29442,33,2019,7,2019-05-10,2022-07-05,7,2022,Rist.Bank,En Cours,0.0,0.0,0.0,0.0,12089.49,0.0,13.655,12696.342,784.118
QR00003765,2,IRDS,27863,174,2025,11,2024-08-04,2025-08-11,8,2024,Annulation,En Cours,0.0,36.715,0.0,0.0,36.715,0.0,5.317,44.36,4.266
QA00003833,1,AUTO,19932,94,2021,11,2020-11-29,2023-11-09,11,2023,Ann.Cxp,Anterieur,201.639,103.005,0.0,54.6,388.232,50.41,11.377,477.277,65.319
QS00003935,3,SANTE,29990,36,2024,4,2024-01-10,2024-10-20,10,2024,Rist.Cheque,En Cours,0.0,0.0,0.0,0.0,2696.746,0.0,6.252,2798.491,139.359
QR00004043,2,IRDS,26544,61,2025,8,2024-06-18,2025-07-27,6,2024,Rist.Agent,Anterieur,0.0,0.0,0.0,0.0,0.0,0.0,5.516,5.516,0.408
QR00004045,2,IRDS,21897,76,2022,8,2022-09-19,2024-05-28,5,2024,Rist.Bank,En Cours,0.0,0.0,0.0,0.0,0.0,0.0,4.548,4.548,0.288
QA00004147,1,AUTO,7612,67,2023,1,2022-10-31,2024-11-30,11,2024,Annulation,En Cours,315.478,56.788,45.416,0.0,467.677,78.87,11.379,594.778,51.77
QA00004176,1,AUTO,11800,186,2023,9,2023-04-24,2023-08-21,4,2023,Rist.Bank,En Cours,112.131,86.183,0.0,0.0,381.523,28.033,14.968,451.908,77.609
QR00004180,2,IRDS,23737,160,2025,5,2023-09-05,2024-03-10,9,2023,NEANT,En Cours,0.0,73.956,0.0,19.858,93.814,0.0,3.713,102.756,7.307
QR00004223,2,IRDS,24198,79,2025,6,2024-11-04,2025-12-06,11,2024,Rist.Cheque,Anterieur,0.0,71.087,0.0,62.329,133.416,0.0,6.079,145.756,14.01
QA00004286,1,AUTO,3063,37,2020,11,2020-02-21,2023-06-24,6,2023,Rist.Caisse,Anterieur,86.841,65.693,0.0,0.0,190.423,21.71,8.371,233.442,22.15
QA00004303,1,AUTO,2219,43,2023,9,2023-09-03,2024-02-26,2,2024,NEANT,Anterieur,121.446,86.722,22.093,25.748,303.061,30.361,7.482,356.898,40.914
QS00004321,3,SANTE,29464,24,2025,2,2022-12-24,2025-03-13,12,2022,Rist.Caisse,Anterieur,0.0,0.0,0.0,0.0,84971.496,0.0,19.677,89980.302,4467.567
QA00004516,1,AUTO,6697,60,2021,11,2021-03-30,2022-07-25,7,2022,Ann.Cxp,Anterieur,34.844,12.051,0.0,0.0,203.319,8.711,13.61,236.525,31.639
QA00004542,1,AUTO,11275,98,2019,8,2019-05-08,2023-04-16,4,2023,Rist.Bank,Anterieur,52.05,117.577,0.0,0.0,279.242,13.012,11.304,324.372,57.387
QA00004618,1,AUTO,2962,191,2022,1,2021-06-11,2023-06-11,6,2023,NEANT,En Cours,462.639,158.745,50.517,0.0,671.901,115.66,7.396,842.634,132.943
QA00004750,1,AUTO,5933,186,2023,9,2022-04-02,2023-03-05,3,2023,NEANT,Anterieur,5057.98,1656.262,24.49,48.851,6813.062,1264.495,13.3,8582.195,1250.085
QA00004809,1,AUTO,11547,169,2019,11,2019-09-10,2022-11-11,11,2022,NEANT,En Cours,341.111,46.106,0.0,42.581,502.614,85.278,14.048,635.998,84.058
QR00004815,2,IRDS,22592,31,2022,8,2021-11-19,2023-02-04,2,2023,Rist.Cheque,Anterieur,0.0,100.211,0.0,37.002,137.213,0.0,6.111,151.728,18.475
QA00004821,1,AUTO,14521,117,2022,12,2022-04-18,2023-09-11,9,2023,Rist.Cheque,Anterieur,28.608,35.36,10.977,0.0,86.31,7.152,10.603,110.738,14.416
QA00004862,1,AUTO,11371,56,2022,12,2021-08-28,2024-11-12,11,2024,Rist.Cheque,Anterieur,217.371,69.726,46.655,0.0,459.465,54.343,9.833,555.091,76.727
QR00004872,2,IRDS,22717,103,2019,1,2019-04-07,2019-07-17,7,2019,Annulation,Anterieur,0.0,119.627,0.0,47.207,166.834,0.0,9.049,185.988,14.801
QA00005049,1,AUTO,17568,126,2019,11,2018-01-31,2021-03-07,3,2021,Ann.Cxp,Anterieur,93.549,81.984,47.783,17.492,270.285,23.387,5.182,320.354,51.788
QA00005123,1,AUTO,12158,166,2019,4,2018-01-24,2023-07-31,7,2023,Rist.Bank,Anterieur,232.639,125.219,0.0,30.135,428.216,58.16,13.694,525.851,83.454
QA00005133,1,AUTO,16681,58,2022,6,2021-04-04,2022-05-23,5,2022,Ann.Cxp,En Cours,648.721,27.053,0.0,0.0,740.448,162.18,7.071,958.601,139.828
QA00005165,1,AUTO,4056,40,2019,9,2018-12-11,2021-11-07,11,2021,Rist.Bank,Anterieur,4909.428,910.299,0.0,0.0,5990.964,1227.357,14.51,7550.532,1193.863
QR00005237,2,IRDS,21431,76,2025,11,2023-12-14,2024-03-14,12,2023,Annulation,Anterieur,107.398,0.0,0.0,0.0,107.398,26.849,8.538,149.675,11.095
QA00005263,1,AUTO,4348,183,2020,1,2020-01-01,2024-02-15,2,2024,Rist.Cheque,Anterieur,736.978,104.411,0.0,0.0,841.389,184.244,12.268,1083.867,139.236
QR00005338,2,IRDS,27873,184,2020,7,2019-04-30,2020-01-18,1,2020,Rist.Agent,En Cours,0.0,337.014,0.0,0.0,337.014,0.0,3.466,359.468,35.567
QR00005397,2,IRDS,21249,75,2023,10,2022-01-13,2023-11-15,11,2023,Ann.Cxp,Anterieur,131.932,203.509,0.0,0.0,335.441,32.983,6.943,391.968,54.561
QA00005400,1,AUTO,3038,79,2025,4,2022-05-04,2024-01-17,5,2022,Rist.Bank,Anterieur,242.675,0.0,26.314,0.0,295.932,60.669,14.668,392.889,46.544
QA00005474,1,AUTO,17858,121,2019,3,2018-06-26,2021-02-10,2,2021,Annulation,En Cours,74.573,79.752,47.06,0.0,262.308,18.643,6.357,301.706,34.784
QA00005511,1,AUTO,1355,71,2021,8,2020-11-19,2024-06-28,6,2024,Rist.Cheque,Anterieur,4755.283,2350.835,0.0,7.226,7156.611,1188.821,10.055,8849.575,1111.568
QA00005553,1,AUTO,17145,188,2025,3,2022-09-14,2025-03-05,9,2022,Rist.Bank,Anterieur,75.178,17.328,0.0,2.832,219.81,18.794,10.029,261.211,33.604
QA00005580,1,AUTO,3677,141,2022,7,2021-04-21,2023-04-19,4,2023,Rist.Bank,Anterieur,4711.411,4941.648,22.517,0.0,9700.188,1177.853,12.326,11550.677,1637.405
QA00005595,1,AUTO,1752,160,2023,7,2022-04-20,2024-11-25,11,2024,Rist.Caisse,En Cours,1714.73,0.0,71.637,0.0,1943.81,428.683,11.884,2538.374,335.922
QA00005599,1,AUTO,10496,57,2023,5,2022-10-23,2024-01-11,1,2024,Rist.Caisse,En Cours,62.772,198.394,8.02,26.548,308.549,15.693,7.99,353.82,28.573
QR00005715,2,IRDS,20661,152,2019,5,2019-05-17,2024-04-25,4,2024,Ann.Cxp,Anterieur,0.0,152.459,0.0,0.0,152.459,0.0,3.56,166.46,20.402
QR00005741,2,IRDS,27652,139,2023,4,2022-11-03,2024-05-15,5,2024,Annulation,En Cours,0.0,38.998,0.0,0.0,38.998,0.0,3.995,44.708,5.466
QR00005784,2,IRDS,20967,179,2023,5,2022-05-22,2023-06-06,6,2023,Ann.Cxp,Anterieur,420.934,0.0,0.0,0.0,420.934,105.234,5.897,559.775,55.849
QA00005797,1,AUTO,3528,14,2025,9,2025-08-07,,1,2023,Annulation,Anterieur,970.881,0.0,0.0,55.392,1026.273,242.72,5.053,1353.414,172.468
QS00005839,3,SANTE,29778,28,2024,12,2023-03-26,2023-09-27,9,2023,Rist.Agent,En Cours,0.0,0.0,0.0,0.0,21997.173,0.0,8.97,23263.073,1728.265
QA00005899,1,AUTO,2428,143,2019,5,2018-10-02,2020-02-05,2,2020,Rist.Agent,En Cours,180.21,22.982,0.0,0.0,386.225,45.053,9.326,460.024,74.475
QA00005909,1,AUTO,18907,98,2021,11,2021-06-20,2021-12-14,12,2021,Annulation,En Cours,228.539,104.26,0.0,27.846,470.931,57.135,9.584,567.112,77.338
QA00005931,1,AUTO,5684,101,2023,9,2022-11-17,,9,2024,Annulation,En Cours,572.978,0.0,0.0,8.059,596.612,143.244,12.869,797.39,127.502
QA00005992,1,AUTO,14625,122,2019,9,2018-01-21,2021-04-17,4,2021,Ann.Cxp,En Cours,70.857,39.971,11.425,0.0,188.125,17.714,11.112,229.369,21.584
QA00006040,1,AUTO,10136,40,2023,9,2022-01-07,2024-08-22,8,2024,Annulation,Anterieur,895.14,62.193,0.0,0.0,1049.927,223.785,12.902,1363.69,173.555
QA00006087,1,AUTO,413,196,2020,1,2019-04-12,2021-08-26,8,2021,NEANT,En Cours,190.788,0.0,0.0,26.273,268.202,47.697,12.376,347.188,33.236
QA00006209,1,AUTO,19626,3,2021,5,2021-06-13,2023-07-10,7,2023,Rist.Agent,En Cours,150.902,179.735,0.0,0.0,428.9,37.725,8.304,497.056,74.018
QA00006229,1,AUTO,7684,2,2024,6,2023-10-08,2024-10-21,10,2024,Annulation,Anterieur,39.605,12.297,14.902,0.0,214.445,9.901,7.118,243.412,24.542
QA00006346,1,AUTO,737,149,2019,7,2019-10-07,2024-08-04,8,2024,Rist.Agent,En Cours,16804.524170537563,0.0,0.0,0.0,328.752,42.882,8.554,398.769,59.489
QA00006362,1,AUTO,17519,103,2020,5,2019-11-19,2020-08-13,8,2020,Rist.Caisse,Anterieur,501.012,0.0,0.0,0.0,516.83,125.253,10.712,680.898,103.521
QA00006368,1,AUTO,6151,10,0,4,2021-07-12,2023-01-30,1,2023,Rist.Bank,Anterieur,74.876,61.344,16.262,0.0,196.694,18.719,9.756,237.017,28.061
QR00006400,2,IRDS,26475,21,2020,12,2020-05-01,2021-03-23,3,2021,Rist.Bank,En Cours,0.0,152.986,0.0,31.932,184.918,0.0,5.853,203.313,18.795
QA00006433,1,AUTO,9599,12,2024,4,2023-05-27,2023-08-23,5,2023,Ann.Cxp,En Cours,170.331,58.982,76.856,21.229,338.536,42.583,7.809,415.01,44.568
QA00006538,1,AUTO,11426,52,2021,5,2021-11-17,2024-05-08,5,2024,Rist.Cheque,Anterieur,35.221,0.0,0.0,0.0,185.159,8.805,9.929,215.917,17.735
QR00006578,2,IRDS,23790,80,2020,3,2020-06-01,2021-09-07,9,2021,Annulation,En Cours,0.0,0.0,0.0,0.0,0.0,0.0,9.198,9.198,0.468
QA00006594,1,AUTO,10002,22,2022,8,2022-08-17,2022-08-25,8,2022,Ann.Cxp,En Cours,3121.67,0.0,0.0,0.0,3171.655,780.418,9.741,4164.957,461.62
QR00006598,2,IRDS,24656,52,2019,8,2019-01-31,2024-12-30,12,2024,Rist.Agent,En Cours,0.0,68.787,0.0,16.973,85.76,0.0,4.915,95.345,5.454
QA00006682,1,AUTO,18751,194,2020,5,2019-05-14,2023-11-29,11,2023,Rist.Caisse,En Cours,282.3,0.0,0.0,21.303,325.464,70.575,11.965,428.72,40.727
QA00006743,1,AUTO,18305,39,2020,2,2019-06-17,2023-05-23,5,2023,Rist.Caisse,Anterieur,463.856,136.007,0.0,26.892,693.419,115.964,12.372,856.445,139.359
QA00006785,1,AUTO,8706,104,2020,7,2020-02-07,2024-09-21,9,2024,Rist.Cheque,Anterieur,93.959,19.395,0.0,4.299,162.451,23.49,10.528,209.242,24.741
QA00006825,1,AUTO,2074,86,2019,11,2019-01-02,,9,2020,Rist.Bank,Anterieur,55.823,25.476,0.0,13.107,135.161,13.956,14.759,174.202,17.129
